"COD_HIC","RegioHIC","N"
"3240","ALP",30
"3240","MED",30
"9120","ALP",30
"9120","MED",30
"9130","ALP",30
"9130","MED",30
"9140","ALP",30
"9150","ALP",30
"9150","MED",30
"9160","ALP",30
"9160","MED",30
"9180*","ALP",30
"9180*","MED",30
"91D0*","ALP",25
"91E0*","ALP",30
"91E0*","MED",30
"91F0","MED",30
"9230","MED",30
"9240","ALP",30
"9240","MED",30
"9260","MED",30
"92A0","ALP",16
"92A0","MED",30
"92D0","MED",30
"9330","MED",30
"9340","ALP",30
"9340","MED",30
"9380","MED",6
"9430","ALP",30
"9430","MED",15
"9430*","ALP",30
"9430*","MED",30
"9530*","ALP",30
"9530*","MED",30
"9540","MED",30
"9580*","MED",3
